id;inten_type;name;description;url_request;enabled;creation_date
1;BACK_END_INFO;Kyat SMS Sleek;impactful Streamlined Granite;Practical AGP;false;2023-05-20T12:29:11
2;BACK_END_INFO;Sleek;Fantastic;connecting Road;true;2023-05-20T08:34:53
3;INFO;eco-centric Fresh Brazilian;Books;adapter;true;2023-05-20T16:38:49
4;INFO;ubiquitous Chips multi-byte;Senior;Frozen Roads tangible;true;2023-05-20T12:09:12
5;INFO;withdrawal;Practical;engineer system compressing;false;2023-05-20T04:04:22
6;BACK_END_INFO;Dynamic Dynamic;Nebraska;calculating Moroccan;false;2023-05-20T12:01:23
7;INFO;Configuration;Beauty Bedfordshire;Real;false;2023-05-20T05:58:35
8;BACK_END_INFO;mobile;moratorium Loan;plum Cambridgeshire Health;false;2023-05-20T12:10:38
9;BACK_END_INFO;Granite;Practical indexing;analyzer Soft;true;2023-05-20T17:13:03
10;INFO;e-tailers Run Director;national USB withdrawal;Plastic Investment;true;2023-05-20T01:14:41
